tag,prog,img,gpu_pct,blk_size,cpu_threads,ite,all_resptime,cpu_branch,cpu_brmiss,cpu_cachemiss,cpu_cachetot,cpu_clock,cpu_inst,cpu_llcmiss,cpu_llctot,cpu_totcyc,gpu_actcyc,gpu_branch,gpu_cta,gpu_divbr,gpu_hit,gpu_inst,gpu_miss,gpu_totcyc
gpu75,convolution,1,0.75,16,4,3,4.33,5290301359,1042252,18293762,27388630,8085.930868,52008584022,0,0,25190871113,801272708,74655360,293166,0,170894418,1184964480,168025244,801277536
gpu75,convolution,1,0.75,16,8,1,4.41,5295441806,1191367,18244672,27328248,13407.053139,51951198577,0,0,41649675776,801582913,74655360,293154,0,170857992,1184964480,168053270,801587958
gpu75,convolution,1,0.75,16,8,2,4.29,5277706867,1073508,19080801,27538793,13393.985422,51877962846,0,0,41563060943,801616068,74655360,293116,0,170761216,1184964480,168099130,801620820
gpu75,convolution,1,0.75,16,8,3,4.29,5286567482,1189330,18572937,27568663,13391.454254,51938849497,0,0,41525012306,801871018,74655360,293046,0,170595348,1184964480,168182836,801876194
gpu75,convolution,1,0.75,32,2,1,5.60,5290271723,873704,19035079,27525985,7896.060834,52022987971,0,0,25171829469,792697159,74666880,73444,0,173074292,1185001920,106579492,803644358
gpu75,convolution,1,0.75,32,2,2,5.62,5302676826,930208,18905653,27706252,7923.959558,52079298912,0,0,25251652915,792731065,74666880,73444,0,173088726,1185001920,106558638,803680466
gpu75,convolution,1,0.75,32,2,3,5.62,5290008312,901883,18026422,26881039,7916.717280,51974082807,0,0,25140234528,792682906,74666880,73448,0,173016402,1185001920,106647198,803632822
gpu75,convolution,1,0.75,32,4,1,4.38,5303568034,1042158,19186892,29073534,8352.182649,51919669885,0,0,25916526797,792691604,74666880,73444,0,173075154,1185001920,106572918,803640656
gpu75,convolution,1,0.75,32,4,2,4.34,5265115533,946881,19104075,28347493,8244.326174,51857018858,0,0,25741874027,792670088,74666880,73442,0,173004312,1185001920,106636524,803617778
gpu75,convolution,1,0.75,32,4,3,4.33,5283234015,923820,19335671,27411985,8076.413708,51860933016,0,0,25082365590,792696792,74666880,73442,0,173111686,1185001920,106534418,803647018
gpu75,convolution,1,0.75,32,8,1,4.29,5279618344,1180590,18490385,27328940,13382.491777,51873672343,0,0,41506514853,792718080,74666880,73440,0,172994846,1185001920,106633474,803668088
gpu75,convolution,1,0.75,32,8,2,4.40,5284832238,1145652,18722585,27936848,13434.507605,51914055574,0,0,41725821704,792697976,74666880,73444,0,173039818,1185001920,106618790,803649064
gpu75,convolution,1,0.75,32,8,3,4.29,5271113913,1098691,19027742,27951917,13372.521424,51723279087,0,0,41393598827,792659310,74666880,73442,0,173028220,1185001920,106623140,803610566
sequ,convolution,4,0,0,1,1,5.97,3881942038,631301,5465612,8546605,5752.820262,43595480653,0,0,18713530387,NA,NA,NA,NA,NA,NA,NA,NA
sequ,convolution,4,0,0,1,2,5.96,3866114116,771658,5486090,8386697,5760.650742,43455170093,0,0,18664289123,NA,NA,NA,NA,NA,NA,NA,NA
sequ,convolution,4,0,0,1,3,5.92,3870965875,583602,5411444,8730115,5721.598037,43507413106,0,0,18562094629,NA,NA,NA,NA,NA,NA,NA,NA
gpuo,convolution,4,1,8,0,1,1.14,658964500,502307,5585337,8673873,908.429964,3540699115,0,0,2758090969,426059010,24883200,388854,0,127392832,395020800,22013924,426063900
gpuo,convolution,4,1,8,0,2,1.15,637497341,461041,5684794,8321908,901.846578,3462658586,0,0,2725139999,425304696,24883200,388870,0,127910038,395020800,21497554,425310160
gpuo,convolution,4,1,8,0,3,1.14,644055667,487890,6038536,8809473,909.562050,3496183295,0,0,2745310453,425283160,24883200,388856,0,127877042,395020800,21514992,425288304
gpuo,convolution,4,1,16,0,1,1.05,489855557,337067,5785944,8614920,791.888106,2899971872,0,0,2368268428,267600908,24883200,97488,0,56058654,394943040,56839330,267607766
gpuo,convolution,4,1,16,0,2,1.04,499538327,492733,5945919,8821187,779.762616,2921012355,0,0,2364302866,268083838,24883200,97512,0,55859754,394943040,57064908,268089804
gpuo,convolution,4,1,16,0,3,0.94,499916254,489106,5908385,8680062,778.037124,2930695522,0,0,2336019734,268082914,24883200,97506,0,55810806,394943040,57108344,268088040
gpuo,convolution,4,1,32,0,1,0.93,487502797,491884,5557020,8954791,767.686872,2880196404,0,0,2342896173,251676877,24888960,24480,0,64096716,394961760,29033276,255351296
gpuo,convolution,4,1,32,0,2,0.93,485654379,480474,5928328,8223585,779.030053,2911544731,0,0,2390264643,251597004,24888960,24480,0,64039796,394961760,29090516,255270710
gpuo,convolution,4,1,32,0,3,0.93,487504959,447620,5679382,8848457,767.989719,2888825180,0,0,2360046251,251616673,24888960,24480,0,64068372,394961760,29062580,255288476
cpuo,convolution,4,0,0,2,1,3.46,3882448664,781112,5401280,8765559,5992.177691,43469514750,0,0,18832309269,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,2,2,3.40,3872670987,689731,5496304,8634064,5890.543601,43531820946,0,0,18588355270,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,2,3,3.46,3866039776,740581,5786833,9222494,5979.349125,43491704215,0,0,18803771162,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,4,1,2.13,3866300912,659759,5198716,8728520,6084.936604,43526380777,0,0,18725085587,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,4,2,2.12,3874555962,546711,5535085,8622877,6033.884268,43637086157,0,0,18615762045,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,4,3,2.09,3870510547,697930,5434103,8493304,6014.546254,43364465712,0,0,18429109872,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,8,1,2.07,3869060911,802732,5831411,9375880,11342.309185,43535968276,0,0,34995863231,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,8,2,2.12,3875944866,840572,5528362,9211366,11700.706049,43533266348,0,0,35947639813,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,4,0,0,8,3,2.08,3871466449,790444,5683453,9431843,11345.824509,43532071748,0,0,34952161142,NA,NA,NA,NA,NA,NA,NA,NA
gpu25,convolution,4,0.25,8,2,1,3.15,3069950237,680670,6031537,9471226,4667.149027,33518770654,0,0,14673549170,106887971,6222240,97930,0,31916118,98769600,5380656,106893936
gpu25,convolution,4,0.25,8,2,2,2.95,3056682860,667499,5349889,8924744,4632.316185,33512275701,0,0,14597289514,106768080,6222240,97938,0,31996766,98769600,5305246,106773166
gpu25,convolution,4,0.25,8,2,3,2.84,3063005480,673294,5535145,8951382,4633.082675,33492781176,0,0,14576156204,106816733,6222240,97930,0,31961020,98769600,5321338,106821582
gpu25,convolution,4,0.25,8,4,1,1.86,3057177320,535612,5284217,8628416,4745.574271,33542976884,0,0,14604226749,106717586,6222240,97940,0,32043562,98769600,5256400,106722458
gpu25,convolution,4,0.25,8,4,2,1.87,3057915241,609347,5327083,9000106,4759.459815,33531059974,0,0,14641458362,106912013,6222240,97928,0,31885214,98769600,5409144,106916874
gpu25,convolution,4,0.25,8,4,3,1.88,3057372966,606124,5080018,8779410,4764.400942,33558769294,0,0,14659063581,106830996,6222240,97924,0,31928620,98769600,5364820,106835860
gpu25,convolution,4,0.25,8,8,1,1.85,3069565718,843981,5720741,9614676,8740.116916,33543257846,0,0,26868936827,106866168,6222240,97936,0,31951878,98769600,5363382,106872092
gpu25,convolution,4,0.25,8,8,2,1.84,3067374787,831967,5619721,9577775,8721.653245,33576287823,0,0,26829220512,106769959,6222240,97936,0,31997968,98769600,5302462,106775104
gpu25,convolution,4,0.25,8,8,3,1.87,3064908708,806541,5683408,9642402,8731.580586,33541820753,0,0,26780064756,106718345,6222240,97940,0,32036020,98769600,5263868,106723438
gpu25,convolution,4,0.25,16,2,1,2.85,3035124291,567894,5840145,8565408,4625.761806,33272749802,0,0,14517218372,66346987,6222240,24530,0,14145826,98691840,14011580,66352148
gpu25,convolution,4,0.25,16,2,2,2.84,3030629474,603046,5393392,8556478,4613.713732,33309059991,0,0,14551984922,66327700,6222240,24554,0,14174894,98691840,14012830,66333860
gpu25,convolution,4,0.25,16,2,3,2.86,3030325402,507643,5682048,8498853,4614.889599,33407969465,0,0,14486025960,66407873,6222240,24540,0,14145440,98691840,14028922,66414374
gpu25,convolution,4,0.25,16,4,1,1.89,3036292954,640669,5346278,8828514,4784.602874,33473044448,0,0,14634824357,66367122,6222240,24534,0,14137312,98691840,14021092,66373286
gpu25,convolution,4,0.25,16,4,2,1.87,3023993025,597712,5450481,8102371,4734.867236,33442191906,0,0,14578310719,66351316,6222240,24542,0,14163672,98691840,14005582,66357180
gpu25,convolution,4,0.25,16,4,3,1.86,3015361735,599303,5153495,8481851,4725.239774,33267769252,0,0,14540599801,66271664,6222240,24556,0,14209846,98691840,13972662,66277732
gpu25,convolution,4,0.25,16,8,1,1.85,3025350574,845043,5680221,9602651,8699.519790,33384819981,0,0,26798732530,66368766,6222240,24540,0,14161724,98691840,14017384,66373602
gpu25,convolution,4,0.25,16,8,2,1.85,3035378443,778334,5700046,9517738,8735.400232,33408474225,0,0,26752714972,66350972,6222240,24538,0,14153882,98691840,14017762,66357328
gpu25,convolution,4,0.25,16,8,3,1.85,3030236951,868704,5735601,9612965,8695.536684,33430941950,0,0,26777858897,66518286,6222240,24554,0,14131082,98691840,14055308,66523596
gpu25,convolution,4,0.25,32,2,1,2.86,3032099013,596274,5946560,8875333,4613.255463,33361873102,0,0,14484542394,62733758,6222240,6120,0,16092096,98652960,7151736,63655416
gpu25,convolution,4,0.25,32,2,2,2.85,3033285775,542638,5740066,8652455,4624.274686,33414277838,0,0,14493395786,62724126,6222240,6120,0,16089012,98652960,7154820,63646846
gpu25,convolution,4,0.25,32,2,3,2.85,3020025078,592788,5155624,8421032,4621.180620,33362433649,0,0,14550692562,62735518,6222240,6120,0,16065762,98652960,7178082,63659234
gpu25,convolution,4,0.25,32,4,1,1.87,3025953709,657213,5352957,8710345,4743.217671,33339702652,0,0,14610658030,62743906,6222240,6120,0,16100966,98652960,7142878,63665002
gpu25,convolution,4,0.25,32,4,2,1.87,3019521861,553239,5551048,8326291,4713.828763,33315568160,0,0,14480765797,62724802,6222240,6120,0,16080246,98652960,7163598,63645522
gpu25,convolution,4,0.25,32,4,3,1.86,3007900335,589921,5324091,8246657,4724.079005,33163342651,0,0,14498496936,62765685,6222240,6120,0,16072782,98652960,7171062,63688548
gpu25,convolution,4,0.25,32,8,1,1.89,3030729826,788207,6258788,10644058,8662.900945,33456601099,0,0,26648812980,62757702,6222240,6120,0,16080756,98652960,7163648,63680020
gpu25,convolution,4,0.25,32,8,2,1.84,3021177784,844948,5611055,9911388,8714.325212,33383272878,0,0,26783172399,62738423,6222240,6120,0,16035768,98652960,7208624,63660100
gpu25,convolution,4,0.25,32,8,3,1.86,3025513040,785677,4963120,9236121,8743.050028,33322607237,0,0,26766394852,62727551,6222240,6120,0,16085614,98652960,7158230,63650282
