Instruction,Feature,UIS,Complex,1995-win95,1996-win95+slack3.0,1997-win95+slack3.0,1998-win98+slack3.0,1999-win98+slack3.0,2000-win98+rhat7.0,2001-winxp+rhat7.0,2002-winxp+rhat7.0,2003-winxp+rhat7.0,2004-winxp+ubu4.10,2005-winxp+ubu4.10,2006-winxp+ubu6.10,2007-vista+ubu7.10,2008-vista+ubu8.10,2009-win7+ubu9.10,2010-win7+ubu10.10,2011-win7+ubu10.10,2012-win7+ubu12.10,1995-win95,1996-win95+slack3.0,1997-win95+slack3.0,1998-win98+slack3.0,1999-win98+slack3.0,2000-win98+slack3.0,2001-winxp+slack3.0,2002-winxp+slack3.0,2003-winxp+slack3.0,2004-winxp+ubu4.10,2005-winxp+ubu4.10,2006-winxp+ubu4.10,2007-vista+ubu7.10,2008-vista+ubu8.10,2009-win7+ubu9.10,2010-win7+ubu9.10,2011-win7+ubu9.10,2012-win7+ubu12.10
movl_Rd_Cd,80386+,0x0f 0x20 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movq_Rq_Cq,80386+,0x0f 0x20 0x01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movl_Rd_Dd,80386+,0x0f 0x21 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movq_Rq_Dq,80386+,0x0f 0x21 0x01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movl_Cd_Rd,80386+,0x0f 0x22 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movq_Cq_Rq,80386+,0x0f 0x22 0x01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movl_Dd_Rd,80386+,0x0f 0x23 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movq_Dq_Rq,80386+,0x0f 0x23 0x01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movl_Rd_Td,80386+,0x0f 0x24 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movl_Td_Rd,80386+,0x0f 0x26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movaps_Vps_Wps,SSE,0x0f 0x28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movaps_Wps_Vps,SSE,0x0f 0x29,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cvtpi2ps_Vps_Qq,SSE2,0x0f 0x2a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movntps_Mps_Vps,SSE,0x0f 0x2b,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cvttps2pi_Pq_Wps,SSE2,0x0f 0x2c,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cvtps2pi_Pq_Wps,SSE2,0x0f 0x2d,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ucomiss_Vss_Wss,SSE,0x0f 0x2e,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
comiss_Vss_Wss,SSE,0x0f 0x2f,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
wrmsr,Pentium+PentiumPro,0x0f 0x30,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
rdtsc,Pentium+PentiumPro,0x0f 0x31,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
rdmsr,Pentium+PentiumPro,0x0f 0x32,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
rdpmc,Pentium+PentiumPro,0x0f 0x33,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
sysenter,Pentium2+MMX,0x0f 0x34,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
sysexit,Pentium2+MMX,0x0f 0x35,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
getsec,SSSE3,0x0f 0x37,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pshufb_Pq_Qq,SSSE3,0x0f 0x38 0x00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
